id,category,formula,inputs,expected_kind,expected,tol
coerce-value-func,coercion,"=VALUE(""123"")",,number,123,0
coerce-value-percent,coercion,"=VALUE(""50%"")",,number,0.5,0.0000001
coerce-len-of-number,coercion,=LEN(12345),,number,5,0
coerce-empty-equals-zero,coercion,=A1=0,,bool,TRUE,
coerce-empty-string-len,coercion,=LEN(A1),,number,0,0
coerce-if-empty-condition,coercion,"=IF(A1,""y"",""n"")",,text,n,
coerce-if-one-condition,coercion,"=IF(1,""y"",""n"")",,text,y,
coerce-concat-empty-both,coercion,=A1&A2,,text,,
coerce-sumproduct-bools,coercion,=SUMPRODUCT((A1:A3>1)*1),A1=1;A2=2;A3=3,number,2,0
date-serial-2020,dates,"=DATE(2020,1,1)",,number,43831,0
date-serial-1900-01-01,dates,"=DATE(1900,1,1)",,number,1,0
date-serial-epoch-leapbug,dates,"=DATE(1900,2,28)",,number,59,0
date-serial-1900-03-01,dates,"=DATE(1900,3,1)",,number,61,0
date-datevalue-iso,dates,"=DATEVALUE(""2020-01-01"")",,number,43831,0
date-day-diff,dates,=A1-A2,"A1==DATE(2020,1,31);A2==DATE(2020,1,1)",number,30,0
date-year,dates,=YEAR(A1),"A1==DATE(2021,6,15)",number,2021,0
date-month,dates,=MONTH(A1),"A1==DATE(2021,6,15)",number,6,0
date-day,dates,=DAY(A1),"A1==DATE(2021,6,15)",number,15,0
date-eomonth,dates,"=EOMONTH(A1,0)","A1==DATE(2021,2,10)",number,44255,0
date-eomonth-next,dates,"=EOMONTH(A1,1)","A1==DATE(2021,1,15)",number,44255,0
date-weekday-default,dates,=WEEKDAY(A1),"A1==DATE(2021,6,14)",number,2,0
date-weeknum,dates,=WEEKNUM(A1),"A1==DATE(2021,1,1)",number,1,0
date-edate-forward,dates,"=EDATE(A1,2)","A1==DATE(2021,1,15)",number,44270,0
date-days-func,dates,"=DAYS(A1,A2)","A1==DATE(2020,1,31);A2==DATE(2020,1,1)",number,30,0
date-yearfrac,dates,"=YEARFRAC(A1,A2)","A1==DATE(2020,1,1);A2==DATE(2021,1,1)",number,1,0.01
date-time-serial,dates,"=TIME(12,0,0)",,number,0.5,0.0000001
date-hour,dates,=HOUR(A1),A1=0.75,number,18,0
date-isoweeknum,dates,=ISOWEEKNUM(A1),"A1==DATE(2021,1,4)",number,1,0
date-datedif-days,dates,"=DATEDIF(A1,A2,""D"")","A1==DATE(2020,1,1);A2==DATE(2020,1,31)",number,30,0
math-sum-range,common,=SUM(A1:A3),A1=1;A2=2;A3=3,number,6,0
math-average,common,=AVERAGE(A1:A3),A1=2;A2=4;A3=6,number,4,0
math-round-half,common,"=ROUND(2.5,0)",,number,3,0
math-round-neg,common,"=ROUND(2.567,2)",,number,2.57,0.0000001
math-rounddown,common,"=ROUNDDOWN(2.99,0)",,number,2,0
math-roundup,common,"=ROUNDUP(2.01,0)",,number,3,0
math-mod,common,"=MOD(10,3)",,number,1,0
math-mod-negative,common,"=MOD(-1,3)",,number,2,0
math-power,common,"=POWER(2,10)",,number,1024,0
math-int-negative,common,=INT(-2.5),,number,-3,0
math-trunc,common,=TRUNC(-2.7),,number,-2,0
math-abs,common,=ABS(-7),,number,7,0
math-sqrt,common,=SQRT(144),,number,12,0
math-max,common,=MAX(A1:A3),A1=3;A2=9;A3=5,number,9,0
math-min,common,=MIN(A1:A3),A1=3;A2=9;A3=5,number,3,0
math-sumif,common,"=SUMIF(A1:A3,"">1"")",A1=1;A2=2;A3=3,number,5,0
math-countif,common,"=COUNTIF(A1:A3,"">1"")",A1=1;A2=2;A3=3,number,2,0
math-sumifs,common,"=SUMIFS(B1:B3,A1:A3,"">1"")",A1=1;A2=2;A3=3;B1=10;B2=20;B3=30,number,50,0
math-ceiling,common,"=CEILING(4.2,1)",,number,5,0
math-floor,common,"=FLOOR(4.8,1)",,number,4,0
lookup-vlookup-exact,common,"=VLOOKUP(2,A1:B3,2,FALSE)",A1=1;B1=10;A2=2;B2=20;A3=3;B3=30,number,20,0
lookup-vlookup-approx,common,"=VLOOKUP(2.5,A1:B3,2,TRUE)",A1=1;B1=10;A2=2;B2=20;A3=3;B3=30,number,20,0
lookup-hlookup,common,"=HLOOKUP(2,A1:C2,2,FALSE)",A1=1;B1=2;C1=3;A2=10;B2=20;C2=30,number,20,0
lookup-index-match,common,"=INDEX(B1:B3,MATCH(3,A1:A3,0))",A1=1;B1=10;A2=2;B2=20;A3=3;B3=30,number,30,0
lookup-match-exact,common,"=MATCH(2,A1:A3,0)",A1=1;A2=2;A3=3,number,2,0
lookup-choose,common,"=CHOOSE(2,""a"",""b"",""c"")",,text,b,
lookup-offset,common,"=OFFSET(A1,2,0)",A1=1;A2=2;A3=3,number,3,0
lookup-rows,common,=ROWS(A1:A5),,number,5,0
lookup-columns,common,=COLUMNS(A1:D1),,number,4,0
text-left,common,"=LEFT(""hello"",3)",,text,hel,
text-right,common,"=RIGHT(""hello"",2)",,text,lo,
text-mid,common,"=MID(""hello"",2,3)",,text,ell,
text-len,common,"=LEN(""hello"")",,number,5,0
text-upper,common,"=UPPER(""abc"")",,text,ABC,
text-lower,common,"=LOWER(""ABC"")",,text,abc,
text-trim,common,"=TRIM(""  a  b  "")",,text,a b,
text-concat,common,"=CONCAT(""a"",""b"",""c"")",,text,abc,
text-substitute,common,"=SUBSTITUTE(""a-b-c"",""-"",""+"")",,text,a+b+c,
text-find,common,"=FIND(""l"",""hello"")",,number,3,0
text-search-ci,common,"=SEARCH(""L"",""heLLo"")",,number,3,0
text-rept,common,"=REPT(""ab"",3)",,text,ababab,
text-exact-true,common,"=EXACT(""a"",""a"")",,bool,TRUE,
text-exact-false,common,"=EXACT(""a"",""A"")",,bool,FALSE,
text-textjoin,common,"=TEXTJOIN(""-"",TRUE,""a"",""b"",""c"")",,text,a-b-c,
text-text-format,common,"=TEXT(0.5,""0%"")",,text,50%,
logical-and,common,"=AND(TRUE,TRUE,FALSE)",,bool,FALSE,
logical-or,common,"=OR(FALSE,FALSE,TRUE)",,bool,TRUE,
logical-not,common,=NOT(FALSE),,bool,TRUE,
logical-xor,common,"=XOR(TRUE,FALSE)",,bool,TRUE,
logical-ifs,common,"=IFS(A1>10,""big"",A1>5,""mid"",TRUE,""small"")",A1=7,text,mid,
logical-switch,common,"=SWITCH(2,1,""one"",2,""two"",""other"")",,text,two,
array-sumproduct-implicit,array-spill,=SUM(A1:A3*B1:B3),A1=1;A2=2;A3=3;B1=4;B2=5;B3=6,number,32,0
array-transpose-index,array-spill,"=INDEX(TRANSPOSE(A1:C1),2)",A1=10;B1=20;C1=30,number,20,0
array-sequence-unsupported,array-spill,=SEQUENCE(3),,error,#NAME?,
array-unique-unsupported,array-spill,=UNIQUE(A1:A3),A1=1;A2=1;A3=2,error,#NAME?,
array-sort-unsupported,array-spill,=SORT(A1:A3),A1=3;A2=1;A3=2,error,#NAME?,
array-filter-unsupported,array-spill,"=FILTER(A1:A3,A1:A3>1)",A1=1;A2=2;A3=3,error,#NAME?,
array-xmatch-unsupported,array-spill,"=XMATCH(2,A1:A3)",A1=1;A2=2;A3=3,error,#NAME?,
array-let-unsupported,array-spill,"=LET(x,5,x*2)",,error,#NAME?,
