# Canonical Excel function list -- Microsoft 'Excel functions (alphabetical)'/'(by category)' catalog for Excel for Microsoft 365.
# Provenance: constructed manually 2026-07-01 (live fetch of support.microsoft.com was blocked by the container egress policy; functional_spec SP3 permits this documented-construction fallback).
# importance: common=everyday/ubiquitous (the off-ramp set); obscure=specialist. See scripts/build_canonical_excel_list.py for the full rubric + source URLs.
name,category,importance
COUNTIFS,stat,common
COUPDAYBS,financial,obscure
COUPDAYS,financial,obscure
COUPDAYSNC,financial,obscure
COUPNCD,financial,obscure
COUPNUM,financial,obscure
COUPPCD,financial,obscure
COVAR,compatibility,obscure
COVARIANCE.P,stat,obscure
COVARIANCE.S,stat,obscure
CRITBINOM,compatibility,obscure
CSC,math,obscure
CSCH,math,obscure
CUBEKPIMEMBER,cube,obscure
CUBEMEMBER,cube,obscure
CUBEMEMBERPROPERTY,cube,obscure
CUBERANKEDMEMBER,cube,obscure
CUBESET,cube,obscure
CUBESETCOUNT,cube,obscure
CUBEVALUE,cube,obscure
CUMIPMT,financial,obscure
CUMPRINC,financial,obscure
DATE,datetime,common
DATEDIF,datetime,common
DATEVALUE,datetime,common
DAVERAGE,database,obscure
DAY,datetime,common
DAYS,datetime,common
DAYS360,datetime,obscure
DB,financial,obscure
DBCS,text,obscure
DCOUNT,database,obscure
DCOUNTA,database,obscure
DDB,financial,obscure
DEC2BIN,engineering,obscure
DEC2HEX,engineering,obscure
DEC2OCT,engineering,obscure
DECIMAL,math,obscure
DEGREES,math,common
DELTA,engineering,obscure
DEVSQ,stat,obscure
DGET,database,obscure
DISC,financial,obscure
DMAX,database,obscure
DMIN,database,obscure
DOLLAR,text,common
DOLLARDE,financial,obscure
DOLLARFR,financial,obscure
DPRODUCT,database,obscure
DROP,dynamic-array,common
DSTDEV,database,obscure
DSTDEVP,database,obscure
DSUM,database,obscure
DURATION,financial,obscure
DVAR,database,obscure
DVARP,database,obscure
EDATE,datetime,common
EFFECT,financial,obscure
ENCODEURL,web,obscure
EOMONTH,datetime,common
ERF,engineering,obscure
ERF.PRECISE,engineering,obscure
ERFC,engineering,obscure
ERFC.PRECISE,engineering,obscure
ERROR.TYPE,information,obscure
EVEN,math,common
EXACT,text,common
EXP,math,common
EXPAND,dynamic-array,obscure
EXPON.DIST,stat,obscure
EXPONDIST,compatibility,obscure
F.DIST,stat,obscure
F.DIST.RT,stat,obscure
F.INV,stat,obscure
F.INV.RT,stat,obscure
F.TEST,stat,obscure
FACT,math,common
FACTDOUBLE,math,obscure
FALSE,logical,common
FDIST,compatibility,obscure
FILTER,dynamic-array,common
FILTERXML,web,obscure
FIND,text,common
FINDB,text,obscure
FINV,compatibility,obscure
FISHER,stat,obscure
FISHERINV,stat,obscure
FIXED,text,obscure
FLOOR,math,common
FLOOR.MATH,math,common
FLOOR.PRECISE,math,obscure
FORECAST,stat,obscure
FORECAST.ETS,stat,obscure
FORECAST.ETS.CONFINT,stat,obscure
FORECAST.ETS.SEASONALITY,stat,obscure
FORECAST.ETS.STAT,stat,obscure
FORECAST.LINEAR,stat,obscure
FORMULATEXT,lookup,obscure
FREQUENCY,stat,obscure
FTEST,compatibility,obscure
FV,financial,common
FVSCHEDULE,financial,obscure
GAMMA,stat,obscure
GAMMA.DIST,stat,obscure
GAMMA.INV,stat,obscure
GAMMADIST,compatibility,obscure
GAMMAINV,compatibility,obscure
GAMMALN,stat,obscure
GAMMALN.PRECISE,stat,obscure
GAUSS,stat,obscure
GCD,math,obscure
GEOMEAN,stat,obscure
GESTEP,engineering,obscure
GETPIVOTDATA,lookup,obscure
GROWTH,stat,obscure
HARMEAN,stat,obscure
HEX2BIN,engineering,obscure
HEX2DEC,engineering,obscure
HEX2OCT,engineering,obscure
HLOOKUP,lookup,common
HOUR,datetime,common
HSTACK,dynamic-array,common
HYPERLINK,lookup,common
HYPGEOM.DIST,stat,obscure
HYPGEOMDIST,compatibility,obscure
IF,logical,common
IFERROR,logical,common
IFNA,logical,common
IFS,logical,common
IMABS,engineering,obscure
IMAGE,lookup,obscure
IMAGINARY,engineering,obscure
IMARGUMENT,engineering,obscure
IMCONJUGATE,engineering,obscure
IMCOS,engineering,obscure
IMCOSH,engineering,obscure
IMCOT,engineering,obscure
IMCSC,engineering,obscure
IMCSCH,engineering,obscure
IMDIV,engineering,obscure
IMEXP,engineering,obscure
IMLN,engineering,obscure
IMLOG10,engineering,obscure
IMLOG2,engineering,obscure
IMPOWER,engineering,obscure
IMPRODUCT,engineering,obscure
IMREAL,engineering,obscure
IMSEC,engineering,obscure
IMSECH,engineering,obscure
IMSIN,engineering,obscure
IMSINH,engineering,obscure
IMSQRT,engineering,obscure
IMSUB,engineering,obscure
IMSUM,engineering,obscure
IMTAN,engineering,obscure
INDEX,lookup,common
INDIRECT,lookup,common
INFO,information,obscure
INT,math,common
INTERCEPT,stat,obscure
INTRATE,financial,obscure
IPMT,financial,common
IRR,financial,common
ISBLANK,information,common
ISERR,information,common
ISERROR,information,common
ISEVEN,information,common
ISFORMULA,information,common
ISLOGICAL,information,common
ISNA,information,common
ISNONTEXT,information,common
ISNUMBER,information,common
ISO.CEILING,math,obscure
ISODD,information,common
ISOMITTED,information,obscure
ISOWEEKNUM,datetime,obscure
ISPMT,financial,obscure
ISREF,information,obscure
ISTEXT,information,common
KURT,stat,obscure
LAMBDA,logical,obscure
LARGE,stat,common
LCM,math,obscure
LEFT,text,common
LEFTB,text,obscure
LEN,text,common
LENB,text,obscure
LET,logical,common
LINEST,stat,obscure
LN,math,common
LOG,math,common
LOG10,math,common
LOGEST,stat,obscure
LOGINV,compatibility,obscure
LOGNORM.DIST,stat,obscure
LOGNORM.INV,stat,obscure
LOGNORMDIST,compatibility,obscure
LOOKUP,lookup,common
LOWER,text,common
MAKEARRAY,logical,obscure
MAP,logical,obscure
MATCH,lookup,common
MAX,stat,common
MAXA,stat,common
MAXIFS,stat,common
MDETERM,math,obscure
MDURATION,financial,obscure
MEDIAN,stat,common
MID,text,common
MIDB,text,obscure
MIN,stat,common
MINA,stat,common
MINIFS,stat,common
MINUTE,datetime,common
MINVERSE,math,obscure
MIRR,financial,obscure
MMULT,math,obscure
MOD,math,common
MODE,compatibility,common
MODE.MULT,stat,obscure
MODE.SNGL,stat,common
MONTH,datetime,common
MROUND,math,common
MULTINOMIAL,math,obscure
MUNIT,math,obscure
N,information,common
NA,information,common
NEGBINOM.DIST,stat,obscure
NEGBINOMDIST,compatibility,obscure
NETWORKDAYS,datetime,common
NETWORKDAYS.INTL,datetime,common
NOMINAL,financial,obscure
NORM.DIST,stat,obscure
NORM.INV,stat,obscure
NORM.S.DIST,stat,obscure
NORM.S.INV,stat,obscure
NORMDIST,compatibility,obscure
NORMINV,compatibility,obscure
NORMSDIST,compatibility,obscure
NORMSINV,compatibility,obscure
NOT,logical,common
NOW,datetime,common
NPER,financial,common
NPV,financial,common
NUMBERVALUE,text,obscure
OCT2BIN,engineering,obscure
OCT2DEC,engineering,obscure
OCT2HEX,engineering,obscure
ODD,math,common
ODDFPRICE,financial,obscure
ODDFYIELD,financial,obscure
ODDLPRICE,financial,obscure
ODDLYIELD,financial,obscure
OFFSET,lookup,common
OR,logical,common
PDURATION,financial,obscure
PEARSON,stat,obscure
PERCENTILE,compatibility,common
PERCENTILE.EXC,stat,obscure
PERCENTILE.INC,stat,common
PERCENTRANK,compatibility,obscure
PERCENTRANK.EXC,stat,obscure
PERCENTRANK.INC,stat,obscure
PERMUT,stat,obscure
PERMUTATIONA,stat,obscure
PHI,stat,obscure
PHONETIC,text,obscure
PI,math,common
PMT,financial,common
POISSON,compatibility,obscure
POISSON.DIST,stat,obscure
POWER,math,common
PPMT,financial,common
PRICE,financial,obscure
PRICEDISC,financial,obscure
PRICEMAT,financial,obscure
PROB,stat,obscure
PRODUCT,math,common
PROPER,text,common
PV,financial,common
QUARTILE,compatibility,common
QUARTILE.EXC,stat,obscure
QUARTILE.INC,stat,common
QUOTIENT,math,common
RADIANS,math,common
RAND,math,common
RANDARRAY,dynamic-array,common
RANDBETWEEN,math,common
RANK,compatibility,common
RANK.AVG,stat,common
RANK.EQ,stat,common
RATE,financial,common
RECEIVED,financial,obscure
REDUCE,logical,obscure
REPLACE,text,common
REPLACEB,text,obscure
REPT,text,common
RIGHT,text,common
RIGHTB,text,obscure
ROMAN,math,obscure
ROUND,math,common
ROUNDDOWN,math,common
ROUNDUP,math,common
ROW,lookup,common
ROWS,lookup,common
RRI,financial,obscure
RSQ,stat,obscure
RTD,lookup,obscure
SCAN,logical,obscure
SEARCH,text,common
SEARCHB,text,obscure
SEC,math,obscure
SECH,math,obscure
SECOND,datetime,common
SERIESSUM,math,obscure
SHEET,information,obscure
SHEETS,information,obscure
SIGN,math,common
SIN,math,common
SINH,math,obscure
SKEW,stat,obscure
SKEW.P,stat,obscure
SLN,financial,obscure
SLOPE,stat,obscure
SMALL,stat,common
SORT,dynamic-array,common
SORTBY,dynamic-array,common
SQRT,math,common
SQRTPI,math,obscure
STANDARDIZE,stat,obscure
STDEV,compatibility,common
STDEV.P,stat,common
STDEV.S,stat,common
STDEVA,stat,obscure
STDEVP,compatibility,common
STDEVPA,stat,obscure
STEYX,stat,obscure
SUBSTITUTE,text,common
SUBTOTAL,math,common
SUM,math,common
SUMIF,math,common
SUMIFS,math,common
SUMPRODUCT,math,common
SUMSQ,math,obscure
SUMX2MY2,math,obscure
SUMX2PY2,math,obscure
SUMXMY2,math,obscure
SWITCH,logical,common
SYD,financial,obscure
T,text,obscure
T.DIST,stat,obscure
T.DIST.2T,stat,obscure
T.DIST.RT,stat,obscure
T.INV,stat,obscure
T.INV.2T,stat,obscure
T.TEST,stat,obscure
TAKE,dynamic-array,common
TAN,math,common
TANH,math,obscure
TBILLEQ,financial,obscure
TBILLPRICE,financial,obscure
TBILLYIELD,financial,obscure
TDIST,compatibility,obscure
TEXT,text,common
TEXTAFTER,text,common
TEXTBEFORE,text,common
TEXTJOIN,text,common
TEXTSPLIT,dynamic-array,common
TIME,datetime,common
TIMEVALUE,datetime,common
TINV,compatibility,obscure
TOCOL,dynamic-array,obscure
TODAY,datetime,common
TOROW,dynamic-array,obscure
TRANSPOSE,lookup,common
TREND,stat,obscure
TRIM,text,common
TRIMMEAN,stat,obscure
TRUE,logical,common
TRUNC,math,common
TTEST,compatibility,obscure
TYPE,information,common
UNICHAR,text,obscure
UNICODE,text,obscure
UNIQUE,dynamic-array,common
UPPER,text,common
VALUE,text,common
VALUETOTEXT,text,obscure
VAR,compatibility,common
VAR.P,stat,common
VAR.S,stat,common
VARA,stat,obscure
VARP,compatibility,common
VARPA,stat,obscure
VDB,financial,obscure
VLOOKUP,lookup,common
VSTACK,dynamic-array,common
WEBSERVICE,web,obscure
WEEKDAY,datetime,common
WEEKNUM,datetime,common
WEIBULL,compatibility,obscure
WEIBULL.DIST,stat,obscure
WORKDAY,datetime,common
WORKDAY.INTL,datetime,common
WRAPCOLS,dynamic-array,obscure
WRAPROWS,dynamic-array,obscure
XIRR,financial,obscure
XLOOKUP,lookup,common
XMATCH,lookup,common
XNPV,financial,obscure
XOR,logical,common
YEAR,datetime,common
YEARFRAC,datetime,common
YIELD,financial,obscure
YIELDDISC,financial,obscure
YIELDMAT,financial,obscure
Z.TEST,stat,obscure
ZTEST,compatibility,obscure
